name|url
Fintech Journal|https://www.sbbit.jp/rss/HotTopics.rss
ZUU online|https://zuuonline.com/feed
Financial Field|https://financial-field.com/feed
TechCrunch Fintech|https://techcrunch.com/category/fintech/feed/
MoneyTalksNews|https://www.moneytalksnews.com/feed/
NerdWallet|https://www.nerdwallet.com/blog/feed/
Money Under 30|https://www.moneyunder30.com/feed
Impress Money|https://www.watch.impress.co.jp/data/rss/1.0/ipw/feed.rdf
ITmedia Mobile|https://rss.itmedia.co.jp/rss/2.0/mobile.xml
ITmedia All|https://rss.itmedia.co.jp/rss/2.0/itmedia_all.xml
Gizmodo Japan|https://www.gizmodo.jp/index.xml
Yahoo Economy|https://news.yahoo.co.jp/rss/categories/business.xml
LIMO|https://limo.media/list/feed/rss
Guardian Money|https://www.theguardian.com/money/rss
GNews_節約ライフハック|https://news.google.com/rss/search?q=%E7%AF%80%E7%B4%84%2B%E3%83%A9%E3%82%A4%E3%83%95%E3%83%8F%E3%83%83%E3%82%AF&hl=ja&gl=JP&ceid=JP:ja
GNews_ポイ活キャンペーン|https://news.google.com/rss/search?q=%E3%83%9D%E3%82%A4%E6%B4%BB%2B%E3%82%AD%E3%83%A3%E3%83%B3%E3%83%9A%E3%83%BC%E3%83%B3&hl=ja&gl=JP&ceid=JP:ja
GNews_ふるさと納税おすすめ|https://news.google.com/rss/search?q=%E3%81%B5%E3%82%8B%E3%81%95%E3%81%A8%E7%B4%8D%E7%A8%8E%2B%E3%81%8A%E3%81%99%E3%81%99%E3%82%81%2B%E8%BF%94%E7%A4%BC%E5%93%81&hl=ja&gl=JP&ceid=JP:ja
GNews_新NISA活用術|https://news.google.com/rss/search?q=%E6%96%B0NISA%2B%E5%88%9D%E5%BF%83%E8%80%85%2B%E6%B4%BB%E7%94%A8%E8%A1%93&hl=ja&gl=JP&ceid=JP:ja
GNews_固定費削減見直し|https://news.google.com/rss/search?q=%E5%9B%BA%E5%AE%9A%E8%B2%BB%2B%E5%89%8A%E6%B8%9B%2B%E8%A6%8B%E7%9B%B4%E3%81%97&hl=ja&gl=JP&ceid=JP:ja
